# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 3
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.1303313490779732,3.1685357227980058,0.7757813403212213,0.0570535020521167,2.183331185235882,-0.7023695824085702,1373.9590693420246,1192.7695809017912,2363.77865693226,2037.5335006257883,0.1376371924280292,0.7750444216858707,0.2783831247953873,0.3138305239354223,0.0955427311182641,0.0097292398935749,0.0034634642523426,0.0,0,0.0,0.0,0.0,0,0.0,0.1187229162443963,0,0,0,6,0.35992487742614093,0.0,1.359924877426141,0.213
2,0.0019150033092443,3.2713276173938413,1.1340129132787888,0.6012281090342358,5.902858580607693,-1.3836334158178034,1108.6375553615253,865.5132815513675,882.1611985857207,2404.4572776526124,0.5022889660261597,0.1026485835519986,0.6186190844323142,0.1797900257725042,0.967701743008036,0.0091727859537679,0.0037131935201288,0.0,0,0.0,0.0,0.0,0,0.0,0.1253395259858739,0,0,0,6,0.3603140897638749,0.0,1.359924877426141,0.213
3,0.0413386618709128,6.198105887399612,-1.0658571913552553,0.709983152732538,1.1166980863470104,1.4636682881248948,-222.5702025523969,599.4937840506902,713.3308424109364,1018.7037211928196,0.4846807952091498,0.4500562252895488,0.0192284675437747,2.0933760857360104,0.6975726600161909,0.008685327659436,0.0788354649173852,0.533600321426692,0,0.0,0.0,0.3506491034439126,0,0.2195121951219512,0.0,1,0,0,6,0.4766918599995621,0.0,1.359924877426141,0.213
4,0.3301129306803976,5.551070536706856,-1.0918372584090943,0.0605515769732624,0.1259728506399141,0.8346833499451067,836.070730737192,933.519759155156,2321.3115882361394,599.2224733083772,0.5452610444987412,0.5207414971177574,0.8274837717393403,1.8609346773687252,1.0043265560287105,0.0199901091598721,0.0259181581326737,0.2247143740605592,0,0.0,0.0,0.0,0,0.0,0.0883978381937957,1,0,0,6,0.4301830713090797,0.0,1.359924877426141,0.213
5,0.6776017309749699,3.220992777412071,1.0459199382659072,0.9079693770011882,4.033015698338894,0.2132494117892531,-3.071719390490898,586.0027954418579,2408.4439424704565,1708.95409383278,0.5178341250058706,0.8479365244329714,0.1303626370675282,2.393838745665987,0.4635902626203088,0.01984969310012,0.026623315532055,0.0,0,0.0,0.0,0.2817066941464489,0,0.0,0.2542943261773845,0,0,0,6,0.3844706482543432,0.0,1.359924877426141,0.213
6,0.7340523373453569,0.9731608342803122,1.3280321799882129,0.8104977766478001,3.1037298929147554,-0.4298744955724085,-139.3651612416682,1216.433745693886,39.389768151802514,-127.92813225831723,0.2163481317250322,0.3557123632469702,0.1972283436184485,2.125012718478323,1.3383014340631472,0.0073239850330186,0.0632260349011465,0.0,0,0.0,0.0,0.7117834133086257,0,0.6292906178489702,0.0,1,0,0,6,0.4906514135975057,0.0,1.359924877426141,0.213
7,0.9021318466023116,5.868798116673212,0.8537216953262443,0.334771878339861,2.57984529983296,0.2009450999194233,1907.3534850323736,897.2062862202663,1459.0068139312614,1350.938861120918,0.6386775845086191,0.8564946543362354,0.6824880400665806,1.5607273791357028,0.6158692166607436,0.0191817549282205,0.085706205602674,1.0,0,0.0,0.0,0.0,0,0.0,0.0637133859904876,1,0,1,6,0.5331596109406169,0.0,1.359924877426141,0.213
8,0.5574893876945591,1.709649524184686,-0.9143115749019086,0.2790607113726008,5.966750738371679,0.1267136884987783,340.07795392527726,1487.9713869413065,396.123645303634,1387.1262054347749,0.791067717308998,0.9513019370774608,0.9499815034308896,0.1310856788830658,0.9363511674745824,0.0075658993105039,0.018952916539862,0.0,0,0.0,0.0,0.1812612585326367,0,0.0,0.1603471210730206,0,0,0,6,0.3730357870356269,0.0,1.359924877426141,0.213
9,0.5567172210944772,3.962943790090587,-1.4930423874567398,0.473291390495261,1.2239358545432764,1.0349747202934902,-323.3141628229529,893.6489016882078,1154.2915256137342,-419.89722556689856,0.970197248031052,0.5381692215940418,0.1820287701208732,2.3862181011732235,0.3606322234303949,0.018871123017724,0.0979430473473426,0.718688829512773,0,0.0,0.0,0.4218222471354301,0,0.5845552297165201,0.0,0,0,1,6,0.5132391944920426,0.0,1.359924877426141,0.213
10,0.8506043028686869,0.2574143303768241,-0.4713263069162607,0.3655933046636761,0.2142409046426264,-1.1653137840484402,-56.97671629164745,-346.6359352695676,689.6683988898035,1415.5622288902514,0.1266191689176312,0.6110439106465697,0.8210427497825677,0.8775741534337387,1.1476867253187075,0.0078106547152622,0.054924388412232,0.0,0,0.0,0.0,0.5924388469536559,0,0.0,0.1505998880876426,0,0,0,6,0.3966493373553705,0.0,1.359924877426141,0.213
11,0.2283422672669391,6.143742519420787,1.3338415668997934,0.192556631455804,0.9946107049350532,0.7658924343125126,2010.1303284785115,905.7572981334916,1490.0956762433825,961.8473904400856,0.2411498593461122,0.6955920321218193,0.0871065293610696,1.335576716624081,0.7921776672062655,0.0191845285962607,0.0086256597359408,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
12,0.2722731288139918,6.042741523642764,-0.9241208203524488,0.7609660624495973,2.119137705272956,-0.9350027987237992,1263.4251087498255,1688.4090187273732,2219.318655101684,1872.9752370673505,0.6254771011673232,0.1187363941137856,0.5235999282374899,0.304474032450185,0.1814901033690212,0.0098287686197802,0.0050831744122751,0.0,0,0.0,0.0,0.0158146609515461,0,0.0,0.1251337103192896,0,0,0,6,0.3612322571335786,0.0,1.0,0.333
