# algorithm: RVEA
# population_size: 100
# num_evaluations: 10000
# run_idx: 6
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: AFV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.2845252515600452,4.192252894636432,1.435917214320679,0.6615191711521626,0.6233397114258374,0.9762647099236696,1.9574202476348612,0.9309687197232112,0.6196664762215098,0.6233910202908381,0.7855344148354508,1.954879092003388,0.1166677204632495,0.0013264699742214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145716346492638,0.0,0.0,0.0,6.0,0.3537983314499567,0.0,1.3537983314499566,0.215
2,0.4238849367712239,3.393446921060687,-1.3707721197287657,0.1422109945946039,0.9855949075003192,0.53572732053921,1.3895847853443135,0.4459094715042799,0.7268484761855707,0.5041134315464814,0.6576551456894675,1.444397303872713,0.0154582531068031,0.0041804634497019,0.0,0.0,0.0,0.0,0.0,0.0,0.3791540785498489,0.0162669798379361,0.0,0.0,0.0,6.0,0.37620123872869327,0.0,1.3537983314499566,0.215
3,0.3256715660105144,1.5380822782088184,0.7490505852741136,0.7567829471598486,0.0200383518502952,0.7529053945401469,1.293302814132851,-0.654122970447433,0.7844810938772533,0.6196205848827107,1.8163335167815944,1.8343238463192484,0.0149471869945478,0.0041534880153158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419492783419408,0.0,0.0,0.0,6.0,0.3554087810789377,0.0,1.3537983314499566,0.215
4,0.6139946359618442,1.09149609589543,-0.6240462426607807,0.7158693402965832,0.4306851996617384,0.1347227178375367,1.092995740262357,0.7089822765756506,0.624452339656119,0.5554056384766685,0.111567795253624,0.776962536135847,0.1170939731162063,0.0025247928832139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092703367761197,0.0,0.0,0.0,6.0,0.35348649039859525,0.0,1.3534864903985953,0.216
5,0.9279721698404892,5.793588865839834,0.439240962868042,0.3600393520343929,0.4817663572435298,0.5185147443232475,0.4032160828131336,-0.9782881194802948,0.613096013975542,0.2424457858902091,0.1966462090421419,1.5241480013355813,0.0143668953255963,0.0022036473022801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076415584704189,0.0,0.0,0.0,6.0,0.35339067991002465,0.0,1.3533906799100246,0.216
6,0.3864297513963557,5.832707709976738,0.1571838802115239,0.2172123248151908,0.7392003615030699,0.7353729507778549,5.012784388420266,0.5689761146738759,0.978976967451331,0.1763788118034247,0.8307808159610248,0.9918698690106422,0.0153268919039825,0.0034666446806992,0.0,0.0,0.0,0.0,0.0,0.0,0.4306151645207439,0.0048991912815143,0.0,0.0,0.0,6.0,0.37855966798836815,0.0,1.3533906799100246,0.216
7,0.1516390390301243,1.9097206756539389,0.7315029062358427,0.1351200357121673,0.9503657921056587,0.3839315085565022,1.6803101693216689,-0.836281379434054,0.3347821366719441,0.2903152046673487,0.231612400425615,0.3881525378026986,0.0302197515523792,0.0037991556167005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262016380449452,0.0,0.0,0.0,6.0,0.3544824492967615,0.0,1.3533906799100246,0.216
8,0.6079963208342927,0.2623159252392661,0.192501505140878,0.668137734826942,0.9383926066665844,0.7860058588119633,4.7150937127195744,-0.0092646326534262,0.0427325016528776,0.8168674964457434,0.0272474883836781,1.10008237143021,0.0698225707957758,0.0027158203827551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189176221321914,0.0,0.0,0.0,6.0,0.3540539777724818,0.0,1.3533906799100246,0.216
9,0.3523697141002933,0.602843530738473,-1.2405080104313748,0.7206795723735814,0.4977013915776123,0.653809951583001,3.739691772521033,-0.2737499059344894,0.1265551567373577,0.2150930922527422,0.4241113191508394,1.5613096620088285,0.0770557696025969,0.002429889611941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204394539431156,0.0,0.0,0.0,6.0,0.3541434972907715,0.0,1.3533906799100246,0.216
10,0.1533866745517799,2.023654154282506,0.5665191871984221,0.7454383188817595,0.3278747711617134,0.2663748292729611,5.102871069091772,-1.5706884382209052,0.8709914394815107,0.4009174960301179,0.9982936279125708,1.873476371910352,0.0968596327753643,0.0012276081156672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705592143024446,0.0,0.0,0.0,6.0,0.35709171848837906,0.0,1.3533906799100246,0.216
